"sale_price","sale_date","address","beds","full_baths","half_baths","sqft","acres","lat","long"
NA,2025-09-17,"1100 W LIBERTY ST, Ann Arbor, MI 48103",3,1,0,1261,0.121,42.277324682917,-83.761875754972
570000,2025-09-17,"422 BLAKELY CT, Ann Arbor, MI 48104",4,1,1,1248,0.087,42.272202789565,-83.744232532872
195000,2025-09-16,"3122 ROSEDALE ST, Ann Arbor, MI 48108",0,1,0,988,0.2,42.243169755953,-83.701361287824
NA,2025-09-16,"2454 PACKARD ST, Ann Arbor, MI 48104",2,1,0,1456,0.752,42.252544516591,-83.72396634512
100,2025-09-16,"1960 MILLER AVE, ANN ARBOR, MI 48103",3,1,1,1024,0.246,42.292048853156,-83.773660954102
547090,2025-09-16,"1375 KENSINGTON DR, Ann Arbor, MI 48104",3,1,1,1616,0.18,42.252938841759,-83.728910953704
NA,2025-09-15,"1207 OAKLAND AV, Ann Arbor, MI 48104",5,2,0,1571,0.076,42.270345628853,-83.734282094908
NA,2025-09-15,"114 E DAVIS AV, Ann Arbor, MI 48104",4,1,0,1070,0.053,42.270218996814,-83.749870326696
NA,2025-09-15,"509 S FIFTH AV, Ann Arbor, MI 48104",6,2,1,2116,0.1,42.27586867843,-83.74622999224
NA,2025-09-15,"408 THOMPSON ST, Ann Arbor, MI 48104",6,2,0,2140,0.1,42.277673422338,-83.74329484845
NA,2025-09-15,"410 THOMPSON ST, Ann Arbor, MI 48104",6,3,0,2509,0.1,42.277641412354,-83.743293222278
NA,2025-09-15,"810 PRINCETON AV, Ann Arbor, MI 48103",4,1,0,1776,0.135,42.272935393621,-83.757179557512
NA,2025-09-15,"3020 N SPURWAY DR, ANN ARBOR, MI 48105",3,2,1,2686,NA,42.318332489807,-83.711126277227
401825,2025-09-12,"2231 TRILLIUM LN 33, ANN ARBOR, MI 48104",0,1,0,794,NA,NA,NA
NA,2025-09-12,"2104 TUOMY RD, Ann Arbor, MI 48104",4,3,1,3448,0.289,42.26567583244,-83.718578539316
1,2025-09-12,"311 SECOND ST, Ann Arbor, MI 48103",3,1,0,980,0.071,NA,NA
NA,2025-09-12,"311 SECOND ST, Ann Arbor, MI 48103",3,1,0,980,0.071,NA,NA
1,2025-09-12,"2707 RADCLIFFE AV, Ann Arbor, MI 48104",3,1,0,1032,0.213,42.248934711199,-83.703953572602
6e+05,2025-09-12,"2789 COLONY RD, Ann Arbor, MI 48104",4,2,0,1539,0.222,42.247277530925,-83.714244463357
3e+05,2025-09-12,"1821 ANDERSON AV, Ann Arbor, MI 48104",3,2,0,1655,0.152,42.257041557619,-83.723427832653
640000,2025-09-12,"2809 RATHMORE LN, ANN ARBOR, MI 48105",3,3,1,2800,NA,42.316445179563,-83.710645094406
490000,2025-09-12,"1342 ARDMOOR AV, Ann Arbor, MI 48103",3,2,0,1170,0.19,42.265165382331,-83.765245538092
305000,2025-09-12,"3543 BURBANK DR, ANN ARBOR, MI 48105",3,2,1,1401,NA,42.317211441337,-83.69084087976
NA,2025-09-12,"711 AMHERST AVE, ANN ARBOR, MI 48105",5,3,0,2853,0.281,42.297931249211,-83.739399518264
430000,2025-09-12,"3110 HILLTOP DR, ANN ARBOR, MI 48103",3,1,1,1196,0.234,42.283418342333,-83.791062634771
1190000,2025-09-11,"1055 CEDAR BEND DR, ANN ARBOR, MI 48105",4,4,1,4192,1.061,42.287459835522,-83.723958319427
NA,2025-09-11,"1401 RUSSELL RD, Ann Arbor, MI 48103",3,1,1,2137,0.217,42.270918518923,-83.763773653408
NA,2025-09-11,"1401 RUSSELL RD, Ann Arbor, MI 48103",3,1,1,2137,0.217,42.270918518923,-83.763773653408
NA,2025-09-11,"1401 RUSSELL RD, Ann Arbor, MI 48103",3,1,1,2137,0.217,42.270918518923,-83.763773653408
464500,2025-09-11,"1596 JONES DR, ANN ARBOR, MI 48105",4,1,0,1632,0.204,42.295719306577,-83.731263593819
385000,2025-09-11,"404 W SUMMIT ST, ANN ARBOR, MI 48103",2,1,1,963,0.208,42.289077316725,-83.751765629679
2e+05,2025-09-10,"12 FAUST CT, Ann Arbor, MI 48108",4,1,0,1008,0.184,42.236179876776,-83.713954932228
575000,2025-09-10,"2765 GLADSTONE AV, Ann Arbor, MI 48104",0,2,1,1970,0.187,42.248787962884,-83.718094401817
1450000,2025-09-10,"13 REGENT DR, ANN ARBOR, MI 48104",4,2,1,2683,0.535,42.278417795611,-83.718051261738
360000,2025-09-10,"2503 MEADE CT, ANN ARBOR, MI 48105",3,1,1,1420,NA,42.309976158013,-83.710557425649
440000,2025-09-10,"915 PATRICIA AVE, ANN ARBOR, MI 48103",3,1,1,1531,0.209,42.292548296704,-83.782373321111
NA,2025-09-09,"814 BARTON DR, ANN ARBOR, MI 48105",2,2,0,775,0.279,42.300157618221,-83.734541474467
725000,2025-09-09,"2375 DUNDEE DR, Ann Arbor, MI 48103",0,1,2,1864,0.243,42.252217497172,-83.768670037102
575000,2025-09-09,"2840 TUEBINGEN PKWY, ANN ARBOR, MI 48105",4,2,1,1859,0.197,42.312671451299,-83.716385197003
525000,2025-09-09,"12 HAVERHILL CT, ANN ARBOR, MI 48105",4,3,0,2056,NA,42.315449323483,-83.70613383079
NA,2025-09-09,"3391 BURBANK DR, ANN ARBOR, MI 48105",2,1,0,1140,NA,42.31441155796,-83.690666749111
NA,2025-09-09,"3391 BURBANK DR, ANN ARBOR, MI 48105",2,1,0,1140,NA,42.31441155796,-83.690666749111
